,0
0,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000030_001.png
1,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000175_001.png
2,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000175_002.png
3,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000642_000.png
4,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000816_000.png
5,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000957_001.png
6,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00000963_011.png
7,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001153_004.png
8,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001270_005.png
9,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001301_021.png
10,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001698_004.png
11,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001797_002.png
12,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00001982_000.png
13,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002032_004.png
14,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002243_007.png
15,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002484_002.png
16,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002491_004.png
17,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002553_000.png
18,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002570_004.png
19,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002611_010.png
20,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00002927_002.png
21,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003230_012.png
22,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003446_000.png
23,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003501_002.png
24,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003516_003.png
25,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003529_002.png
26,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003573_003.png
27,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003787_002.png
28,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003843_000.png
29,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00003919_001.png
30,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004006_026.png
31,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004091_000.png
32,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004188_008.png
33,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004209_002.png
34,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004428_002.png
35,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004656_002.png
36,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004717_000.png
37,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004746_025.png
38,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004809_003.png
39,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004822_025.png
40,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004867_000.png
41,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004893_022.png
42,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004893_036.png
43,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00004937_002.png
44,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005254_008.png
45,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005365_002.png
46,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005372_005.png
47,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005537_012.png
48,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005538_001.png
49,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005726_007.png
50,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005742_001.png
51,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005835_004.png
52,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00005982_002.png
53,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00006102_003.png
54,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00006281_002.png
55,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00006300_000.png
56,/Users/adithya/Documents/MATLAB/project/cbir_dataset/sample/images/00006514_000.png
