,0
0,Atelectasis
1,Atelectasis
2,Atelectasis
3,Atelectasis
4,Atelectasis
5,Atelectasis
6,Atelectasis
7,Atelectasis
8,Atelectasis
9,Atelectasis
10,Atelectasis
11,Atelectasis
12,Atelectasis
13,Atelectasis
14,Atelectasis
15,Atelectasis
16,Atelectasis
17,Atelectasis
18,Atelectasis
19,Atelectasis
20,Atelectasis
21,Atelectasis
22,Atelectasis
23,Atelectasis
24,Atelectasis
25,Atelectasis
26,Atelectasis
27,Atelectasis
28,Atelectasis
29,Atelectasis
30,Atelectasis
31,Atelectasis
32,Atelectasis
33,Atelectasis
34,Atelectasis
35,Atelectasis
36,Atelectasis
37,Atelectasis
38,Atelectasis
39,Atelectasis
40,Atelectasis
41,Atelectasis
42,Atelectasis
43,Atelectasis
44,Atelectasis
45,Atelectasis
46,Atelectasis
47,Atelectasis
48,Atelectasis
49,Atelectasis
50,Atelectasis
51,Atelectasis
52,Atelectasis
53,Atelectasis
54,Atelectasis
55,Atelectasis
56,Atelectasis
57,Atelectasis
58,Atelectasis
59,Atelectasis
60,Atelectasis
61,Atelectasis
62,Atelectasis
63,Atelectasis
64,Atelectasis
65,Atelectasis
66,Atelectasis
67,Atelectasis
68,Atelectasis
69,Atelectasis
70,Atelectasis
71,Atelectasis
72,Atelectasis
73,Atelectasis
74,Atelectasis
75,Atelectasis
76,Atelectasis
77,Atelectasis
78,Atelectasis
79,Atelectasis
80,Atelectasis
81,Atelectasis
82,Atelectasis
83,Atelectasis
84,Atelectasis
85,Atelectasis
86,Atelectasis
87,Atelectasis
88,Atelectasis
89,Atelectasis
90,Atelectasis
91,Atelectasis
92,Atelectasis
93,Atelectasis
94,Atelectasis
95,Atelectasis
96,Atelectasis
97,Atelectasis
98,Atelectasis
99,Atelectasis
100,Atelectasis
101,Atelectasis
102,Atelectasis
103,Atelectasis
104,Atelectasis
105,Atelectasis
106,Atelectasis
107,Atelectasis
108,Atelectasis
109,Atelectasis
110,Atelectasis
111,Atelectasis
112,Atelectasis
113,Atelectasis
114,Atelectasis
115,Atelectasis
116,Atelectasis
117,Atelectasis
118,Atelectasis
119,Atelectasis
120,Atelectasis
121,Atelectasis
122,Atelectasis
123,Atelectasis
124,Atelectasis
125,Atelectasis
126,Atelectasis
127,Atelectasis
128,Atelectasis
129,Atelectasis
130,Atelectasis
131,Atelectasis
132,Atelectasis
133,Atelectasis
134,Atelectasis
135,Atelectasis
136,Atelectasis
137,Atelectasis
138,Atelectasis
139,Atelectasis
140,Atelectasis
141,Atelectasis
142,Atelectasis
143,Atelectasis
144,Atelectasis
145,Atelectasis
146,Atelectasis
147,Atelectasis
148,Atelectasis
149,Atelectasis
150,Atelectasis
151,Atelectasis
152,Atelectasis
153,Atelectasis
154,Atelectasis
155,Atelectasis
156,Atelectasis
157,Atelectasis
158,Atelectasis
159,Atelectasis
160,Atelectasis
161,Atelectasis
162,Atelectasis
163,Atelectasis
164,Atelectasis
165,Atelectasis
166,Atelectasis
167,Atelectasis
168,Atelectasis
169,Atelectasis
170,Atelectasis
171,Atelectasis
172,Atelectasis
173,Atelectasis
174,Atelectasis
175,Atelectasis
176,Atelectasis
177,Atelectasis
178,Atelectasis
179,Atelectasis
180,Atelectasis
181,Atelectasis
182,Atelectasis
183,Atelectasis
184,Atelectasis
185,Atelectasis
186,Atelectasis
187,Atelectasis
188,Atelectasis
189,Atelectasis
190,Atelectasis
191,Atelectasis
192,Cardiomegaly
193,Cardiomegaly
194,Cardiomegaly
195,Cardiomegaly
196,Cardiomegaly
197,Cardiomegaly
198,Cardiomegaly
199,Cardiomegaly
200,Cardiomegaly
201,Cardiomegaly
